created_at,text,RT
2021/12/31_00:40:00,【 #Gさとうデータ部 】【 #MODECON_GF 】【pt推移グラフ】🔹GirlsMODECON NEXTグランプリ・一之瀬ちひろ、浴衣美人準グランプリ・さやが激戦を繰り広げている。一方、2021夏のGF準グランプリ… https://t.co/kyx97zbGZI,1
2021/12/31_00:35:00,【 #Gさとうデータ部 】【 #MODECON_GF 】【pt推移グラフ】🔹Mens現時点では、MODECON Billboard準グランプリ・EMON、関西S/S準グランプリ・最強のうみくんが大きくリードしている。5名… https://t.co/ZMPCEWZDmu,0
2021/12/31_00:30:00,【 #Gさとうデータ部 】【 #MODECON_GF 】【セミファイナル10/15日目】🔹このあと、これまでのpt推移グラフをアップ予定です。🔹配信ptは初日の獲得ptを1.3倍した状態で集計しています。【参照用ス… https://t.co/K47SBKJWJa,0
2021/12/30_01:01:18,【 #Gさとうデータ部 】【 #MODECON_GF 】【セミファイナル 9/15日目】🔹車かっ飛ばして一時帰宅しました。🔹配信ptは初日の獲得ptを1.3倍した状態で集計しています。【参照用スプレッドシート】… https://t.co/BMms7PZimG,1
2021/12/29_14:40:08,実家に帰ってデータ眺めるために、わざわざモニターとキーボードまでスーツケースに詰め込んで持って帰ってきたんですけど、準備してる最中に肝心のPC本体を忘れたことに気づきました。今夜の集計はお休みさせてください🙇‍♂️ https://t.co/k82BMXnKmH,0
2021/12/29_00:30:00,【 #Gさとうデータ部 】【 #MODECON_GF 】【セミファイナル 8/15日目】🔹セミファイナルも折り返しとなりました。🔹配信ptは初日の獲得ptを1.3倍した状態で集計しています。【参照用スプレッドシート… https://t.co/bVjbTdW9p0,0
2021/12/28_00:30:00,【 #Gさとうデータ部 】【 #MODECON_GF 】【セミファイナル 7/15日目】🔹配信ptは初日の獲得ptを1.3倍した状態で集計しています。【参照用スプレッドシート】… https://t.co/RHdnlXLqtB,1
2021/12/27_22:26:37,【 #Gさとうデータ部 】【 #MODECON_GF 】今夜のツイートは22時時点での集計結果となります。ご了承ください。,0
2021/12/27_00:30:00,【 #Gさとうデータ部 】【 #MODECON_GF 】【セミファイナル 6/15日目】🔹配信ptは初日の獲得ptを1.3倍した状態で集計しています。【参照用スプレッドシート】https://t.co/PRmul0WmCY,0
2021/12/26_22:43:40,最速ですね！そして夏のGF予選で1000RT超えたのは月宮ハノン(1210)、晴海(1081)、真司(1032)の3名だけです！この調子で頑張ってください！※敬称略 https://t.co/ny7R1hUFCW,0
2021/12/26_08:49:43,【 #Gさとうデータ部 】【 #MODECON_GF 】【過去データ振り返り】🔹今年夏に開催された #MODECON_GF  MENSの配信ptランキングならびにGF出場前の長期イベントの戦績をまとめてみました。🔹第1… https://t.co/04agus5pAX,0
2021/12/26_00:30:00,【 #Gさとうデータ部 】【 #MODECON_GF 】【セミファイナル 5/15日目】🔹配信ptは初日の獲得ptに1.3倍した状態で集計しています。【参照用スプレッドシート】… https://t.co/xzLcFgUYy5,0
2021/12/25_00:30:00,【 #Gさとうデータ部 】【 #MODECON_GF 】【セミファイナル 3/15日目】🔹配信ptは初日の獲得ptに1.3倍した状態で集計しています。🔹メリークリスマス！そろそろ1回配信してください… https://t.co/KDz73znMgo,2
2021/12/24_08:37:21,RT @BishoujoKoshien: 【エントリーNo.5】■名前道瀬藍利■アカウント@missichigo_airi 🌬投票方法🌬このツイートをRT☝️🔁1RT=1ポイント（引用RT含む）投票券＆冊子の販売数でポイント獲得https://t.co…,408
2021/12/24_08:37:04,RT @rikuharunono: we are the oneDOBERMAN INFINITYイベントに出ていれば上手く行かずに後悔もするし弱音も吐く、それでも必ず前を向いてグランプリを取るので一緒にその景色を見に行こう🐶🍓#MODECONタキシード #ミクチャ…,1398
2021/12/24_00:30:07,【 #Gさとうデータ部 】【 #MODECON_GF 】【セミファイナル 3/15日目】🔹配信ptは初日の獲得ptに1.3倍した状態で集計しています。🔹ごりごりさんお誕生日おめでとう！！！【参照用スプレッドシート】… https://t.co/CTkFBeFa03,3
2021/12/23_00:30:00,【 #Gさとうデータ部 】【 #MODECON_GF 】【セミファイナル 2/15日目】🔹配信ptは初日の獲得ptに1.3倍した状態で集計しています。🔹予選突破となる上位10位のラインを引きました。【参照用スプレッ… https://t.co/tNJSfLjEZ7,0
2021/12/22_16:54:43,【 #Gさとうデータ部 】#MODECON_GF データ集計、今日からはこのようなフォーマットで更新する予定です。他にも要望等ありましたらリプにて受けようと思います。※手間と天秤にかけて取り入れるか判断させていただきま… https://t.co/u4pckJQXK9,0
2021/12/22_14:52:46,【 #Gさとうデータ部 】データ愛好者の方のために #MODECON_GF の集計結果をスプレッドシートでも公開します。　日次で集計結果のスクリーンショットならびにスプレッドシートへのリンクをツイートしますので、よろしくお… https://t.co/gVWv8M3cqy,0
2021/12/22_00:39:33,明らかに「これおかしくね？」ってのがあったら教えてくださると嬉しいです🙇‍♂️ https://t.co/mgi37pyMaK,0
2021/12/22_00:38:17,【 #Gさとうデータ部 】【 #MODECON_GF 】【セミファイナル 1/15日目】初日の集計結果です！23時までに審査対象ツイートが見つからなかった方はRT数を0としています。🚨1.3倍後のptは公式のデータ… https://t.co/vZvOhbnmcf,4
2021/12/21_23:01:22,【 #Gさとうデータ部 】データは毎日24:30にアップしていきます。#MODECON_GF #MODECON#ミクチャ,0
2021/12/21_18:01:23,【 #MODECON_GF 】2021年6〜8月に開催されたMODECONグランドフィナーレにおいてデータ集計ツイートが大変好評だったため、今回も集計しようと思います！参加者の皆様、集計は任せてください！… https://t.co/i8aa8UnO80,0
