created_at,text,RT
2021/12/29_07:02:16,ミクチャライブを配信中！ #ミクチャ https://t.co/4Sx28vsr6N,1
2021/12/28_23:21:13,『ツイートRT最終日🔥お願いします🙏』 -ミクチャライブを配信中！ #ミクチャ https://t.co/4Sx28vsr6N,1
2021/12/28_15:13:45,RT @36_gt_aeug: ✨収益化記念感謝のプレゼント企画✨【参加方法】フォロー&amp;RTYouTubeチャンネル登録Discordの参加【開催日】１２月３０日詳細はDiscordに書いております何方でも参加ＯＫです参加お待ちしております https:…,41
2021/12/28_15:13:24,RT @yume_2003: フォローRTして頂いた方速攻でお返しします！🌟お願い#フォロー#このツイートをRT☄️お返し#フォロバ#固定ツイートをRT#フォローバック#固定RT#相互フォロー#相互フォロー募集#拡散希望#RT企画#RT希望,28
2021/12/28_15:11:05,RT @dieeet_smart: 13日で730件 リツイート実績💕12時間 以内にフォロバ💯#拡散希望 です💕🍒お願い🍒#フォロー#固定ツイートをRT 🍓お礼🍓#フォロバ#固定ツイートRT個ツイRTして頂けたら、必ずお返しします💯再RTもしますよー…,77
2021/12/28_02:13:32,雰囲気いいかんでぃシャロンめんばー！リツイートお願いしたいです！！！#ミクチャ #MODECON #キャンコレ #キャンパスコレクション #拡散希望RTお願いします https://t.co/VCk8OUJmtQ,34
2021/12/28_02:11:20,この絵もすきだっ！最高のツーショット！RT審査28日23:59まで！！すべてのリツイートお願いしたいです🙏💦💦#ミクチャ #MODECON #ツーショット #拡散RT希望 https://t.co/pmEWd6C9DV,34
2021/12/28_02:09:07,ヤンキーつっちー。昭和のアイドル風な髪でしたね。ターンして全部崩れたけどもこちらもRT対象です！！！#ミクチャ #MODECON #アイドル #昭和 #拡散RT希望 https://t.co/jaXOFEEYCx,36
2021/12/28_02:06:23,この絵が好き。最高のメンバーで歩けました。こちらもRT審査対象です。ぜひリツイートお願いします！#モデコン #MODECON #ファッション #拡散RT希望 https://t.co/PgZauL0xiJ,34
2021/12/28_02:01:06,ここは森ですか！！いいえ、神社のまわりの木です。リツイート審査最終日です！28日23:59までのRTが加算されます！！！すべてのツイートが審査対象でリツイート数×30ptになります！RTお願いします！#ミクチャ… https://t.co/z7gUm8xLaW,36
2021/12/27_22:51:22,『最近雪ヤバくね配信』 -ミクチャライブを配信中！ #ミクチャ https://t.co/4Sx28vsr6N,3
2021/12/27_22:44:27,『おみそしるタイム』 - アベミウ🕊🤍ちいかわさんがLIVE配信中だよ！みんなで配信を盛り上げよう！ #ミクチャ https://t.co/1R2zmiOmf7,0
2021/12/27_22:43:36,『バズーカ集めてます✨初見🙆‍♀️』 - RIRA(りら)🥒#GAAさんがLIVE配信中だよ！みんなで配信を盛り上げよう！ #ミクチャ https://t.co/FLTeuO8k4v,0
2021/12/27_22:07:24,キラキラしてます✨#ミクチャ #MODECON #イルミネーション #拡散希望RT https://t.co/G4KSOvxgg9,36
2021/12/27_22:05:59,CHÄLON集合#ミクチャ #MODECON #CHÄLON #拡散希望RT https://t.co/UOok0gPOoW,33
2021/12/27_22:03:48,こんなんのもどうでしょう。懐かしい写真だっ！#ミクチャ #MODECON #リツイート #変顔 #拡散RT希望 https://t.co/9Bb3U0jM7C,36
2021/12/27_22:02:53,こっちをトプ画にしようかも迷いましたああ#ミクチャ #MODECON #撮影モデル #拡散RT希望 https://t.co/snKBLyrz7H,32
2021/12/27_02:56:45,MODECON札幌エントリー中のつっちーです！投票数×20ptTwitterのRT数×30ptになります。応援してくださる方と一緒にファイナルいきます！ついてきてください！↓ここから１日１回投票できます！… https://t.co/soe0ht41ME,51
2021/12/26_23:17:48,プロ画新しくしてみましたっ！自分のツイートすべてリツイート審査対象になってます！なんとかお願いします🙏#ミクチャ #MODECON #拡散希望RT https://t.co/pk9LNKUEux,38
2021/12/26_11:42:22,人気枠のったときのスクショとってくれました！うれちい#ミクチャ #MODECON #リツイートお願いします #拡散RT希望 https://t.co/VkVgAnY0cf,31
2021/12/25_23:01:08,『幸せお届けいたします☀️』 -ミクチャライブを配信中！ #ミクチャ https://t.co/4Sx28vsr6N,2
2021/12/25_21:48:01,12月25日(土) 23:00から、ミクチャライブを配信予定！ #ミクチャ https://t.co/2h9FVpHjUv,2
2021/12/25_02:12:49,サンタ配信でした！！！今日もきてくださりありがとうございましたっ！！Twitterの投稿のRTもお願いします🙏ひとつのリツイートにつき、20ptになります。ほんとにお願いします！#ミクチャ #MODECON… https://t.co/U8D7IMQNOo,41
