created_at,text,RT
2021/12/15_07:39:33,12/15(水)⑤☃️1日1いっぬ❄️️いっぬより面積とっちゃった😟🤦‍♀️いちゃこらしてくれる日もあります。基本ツンデレです。気まぐれ犬困っちゃう( ･̆ ･̆  )☃️❄️️#MODECON #ミクチャ… https://t.co/6qKsYFspZK,49
2021/12/15_07:39:22,12/15(水)④☃️今日の飯テロ❄️️これは果たして飯テロなのか( ˙꒳​˙  )???チョコボールのアイスver.🍨ホワイトチョコ！！！って思って買いました🥴深夜ってお腹空くよね…😵‍💫☃️❄️️… https://t.co/KNjQLGyu4E,47
2021/12/15_07:39:09,12/15(水)③☃️new💅❄️️初めてネイルチップ付けたんだけど可愛いです😳そしてコスパよき\(　ﾟдﾟ)/!!ただ外し方が分かんない（笑）誰か教えてください┏○ﾍﾟｺｯおはようございます😵‍💫☃️❄️️… https://t.co/Ica6unOQKU,49
2021/12/15_07:38:43,12/15(水)②☃️リトボゲリラ開始❄️️今年はハンドミキサー買いました🤣🤣去年のクリスマス手動でひたすら生地とクリーム泡立ててたの懐かし〜〜〜🎄🎂今日は去年と違うケーキつくるよ〜きてね〜❕ゲリラも1位がんばる🔥… https://t.co/hteLu5BcJi,50
2021/12/15_07:38:27,12/15(水)①☃️みさぽち投票所❄️️ノーマルひえ〜〜〜🥲でも下から撮ると顔ちっちゃく見えるし脚長く見える🙂クリスマスの時期は絶対ユニバ行きたいのだ⸜(* ॑꒳ ॑*  )⸝今日の投票も🙇‍♀️👇🏻… https://t.co/R4p96PczRU,49
2021/12/14_12:09:50,12/14(火)⑤☃️1日1いっぬ❄️️こたつだいすきいっぬ。🐶きっと前世は猫でしょう。🐈私も来世はこんな風になりたいです。☃️❄️️#MODECON #ミクチャ #犬のいる生活 #いぬのいる暮らし… https://t.co/0cJS6xKHpR,58
2021/12/14_12:09:34,12/14(火)④☃️今日の飯テロ❄️️みんなだいすき😚🍜この前久々に行ったのだ🥴鶏白湯ラーメンMUTSUKI  @神戸生も炙りも死ぬほど美味しいので胃腸強い方は行ってください😀☃️❄️️#MODECON… https://t.co/tpfoJbRLV6,48
2021/12/14_12:09:27,12/14(火)③☃️ｵﾝﾅﾉｺ❄️️もこもこってだけでｶﾜｲｲ😵‍💫😵‍💫😵‍💫最近カフにハマり中👂わりと色んな系統に手出してますがやっぱりこういう系が女の子っぽくてすきです✌🏻️🤍痩せよーっとᯅ̈☃️❄️️… https://t.co/dLGMPboGd3,52
2021/12/14_12:09:13,12/14(火)②☃️お知らせ❄️️明日からゲリラです🙋‍♀️＼pt・指定・配信時間／わあ満載だね~特別賞とりたい🔥今日の配信は23:30~します！今日切れ🙇‍♀️🙏🏻15日(水) 9:30～  1年ぶりに🎂作… https://t.co/O5DdsLzjk2,52
2021/12/14_12:08:39,12/14(火)①☃️みさぽち投票所🗳❄️️ボブ×マフラーって無敵だよねわかる。(言ってない)1限起きれました偉い。今日の投票もお願いします🥲👇🏻https://t.co/f7Ziy7ms6I☃️❄️️… https://t.co/dhzogDCgNc,54
